"","taxon","ProcCoord1","ProcCoord2","ProcCoord3","ProcCoord4","ProcCoord5","ProcCoord6","ProcCoord7","ProcCoord8","ProcCoord9","ProcCoord10","ProcCoord11","ProcCoord12","ProcCoord13","ProcCoord14","ProcCoord15","ProcCoord16","ProcCoord17","ProcCoord18","ProcCoord19","ProcCoord20","ProcCoord21","ProcCoord22","ProcCoord23","ProcCoord24"
"11","Charmosyna_placentis",-0.504341557,-0.104802182,0.361862076,0.053229784,0.341479203,-0.021285924,0.152830615,-0.193095952,0.03278737,0.082799947,0.26954203,0.043357839,-0.310709264,0.092362906,0.006570677,0.172485667,0.197146105,0.124634684,-0.361380915,-0.029909867,-0.163359227,-0.059701463,-0.022427114,-0.160075438
"12","Coracopsis_nigra",-0.49526477,-0.096297122,0.379900264,0.047355425,0.368807865,0.005241965,0.096048493,-0.18395024,0.036964627,0.072410564,0.279279934,0.068322157,-0.292296499,0.096030504,0.025110718,0.17133391,0.206592948,0.125398866,-0.360174592,-0.036068575,-0.185878638,-0.102940588,-0.059090349,-0.166836866
"13","Cyanoliseus_patagonus",-0.512986658,-0.125998597,0.393791239,0.019697542,0.336425111,-0.01946955,0.073514162,-0.195907358,0.092326125,0.121348224,0.226531233,0.081713247,-0.312729686,0.108712329,0.069856034,0.215200972,0.187128429,0.155254541,-0.374540804,-0.058951053,-0.151217553,-0.116338415,-0.028097632,-0.185261881
"14","Cyanopsitta_spixii",-0.519049756,-0.106505022,0.387782479,0.036447347,0.330052033,-0.011100228,0.107366433,-0.190178499,0.083780221,0.093309097,0.224755651,0.064952386,-0.323894129,0.115546255,0.049833855,0.196690672,0.181868168,0.141693783,-0.368923547,-0.048134464,-0.138107962,-0.108953347,-0.015463445,-0.183767981
"15","Deroptyus_accipitrinus",-0.506077822,-0.113872786,0.387748122,0.024465069,0.348219484,-0.011883084,0.103887028,-0.18273736,0.077057806,0.102576641,0.227182403,0.070718566,-0.310708643,0.117657437,0.048329433,0.203332469,0.174998073,0.147430247,-0.370660407,-0.043542292,-0.160487796,-0.121895469,-0.01948768,-0.192249439
"16","Eclectus_roratus",-0.536708815,-0.127744669,0.348038823,0.035272491,0.309720289,-0.004424989,0.086098362,-0.17322142,0.106027415,0.088526372,0.246702314,0.037660614,-0.332617034,0.120191926,0.064568579,0.224268654,0.224238866,0.132987519,-0.383601883,-0.055032061,-0.134673974,-0.113461338,0.002207059,-0.1650231
"17","Enicognathus_leptorhynchus",-0.555823202,-0.046273383,0.367547883,0.069807967,0.332384109,0.030379725,0.14310864,-0.200866298,0.078383821,0.048975242,0.210905466,0.042504043,-0.315173311,0.108513891,0.038888682,0.150886753,0.168114514,0.124238164,-0.365585273,-0.024207612,-0.126623589,-0.120719437,0.02387226,-0.183239054
"18","Eunymphicus_cornutus",-0.485022471,-0.113339404,0.388935415,0.004098253,0.365564398,-0.019637703,0.094859336,-0.181742008,0.049461971,0.122119223,0.26312246,0.075031291,-0.311152502,0.099613017,0.025116848,0.191829853,0.1859282,0.144631238,-0.365251562,-0.05492097,-0.174250987,-0.116165562,-0.037311106,-0.151517229
"19","Glossopsitta_concinna",-0.479601959,-0.099293231,0.374468111,0.037838871,0.348450309,0.004143949,0.148524155,-0.205255995,0.017276941,0.101068802,0.274157844,0.053615887,-0.305188789,0.096506979,-0.006389285,0.169496027,0.195731666,0.124059889,-0.357216451,-0.029461936,-0.184009506,-0.075393876,-0.026203036,-0.177325367
"20","Loriculus_galgulus",-0.48902785,-0.07629482,0.382973924,0.083103613,0.359162857,0.008830572,0.092202035,-0.222615518,0.015448659,0.048066809,0.287562449,0.071492779,-0.293001312,0.090231334,0.000768,0.146291953,0.217230977,0.119657246,-0.354651353,-0.030303309,-0.180797951,-0.074118377,-0.037870173,-0.164342283
