Taxon,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24
Lochmias_nematura,-0.439614085,0.027343438,0.393973171,0.049791525,0.388508067,0.027818887,0.208204677,-0.115226818,-0.070006524,-0.010811515,0.340104773,0.017172294,-0.351884655,0.043745526,-0.14325228,0.054292895,0.190689931,0.040660985,-0.347788148,-0.009166262,-0.194253423,-0.043284282,0.025318497,-0.082336674
Lophaetus_occipitalis,-0.449358605,-0.100506575,0.435611166,0.04180212,0.397377525,0.006831016,0.064694306,-0.168636822,-0.029651295,0.022650853,0.312615177,0.02855871,-0.309227456,0.073195487,-0.065669001,0.143344568,0.204608353,0.12723732,-0.338782552,-0.026397698,-0.182046035,-0.028638735,-0.040171584,-0.119440244
Loriculus_galgulus,-0.48902785,-0.07629482,0.382973924,0.083103613,0.359162857,0.008830572,0.092202035,-0.222615518,0.015448659,0.048066809,0.287562449,0.071492779,-0.293001312,0.090231334,7.68E-04,0.146291953,0.217230977,0.119657246,-0.354651353,-0.030303309,-0.180797951,-0.074118377,-0.037870173,-0.164342283
Loriculus_philippensis,-0.533203343,-0.08699752,0.357491078,0.041574045,0.339084397,0.005759606,0.141604084,-0.14118537,0.043895376,0.052634919,0.274463886,0.028142465,-0.320028236,0.08461449,0.010191754,0.145666435,0.212650011,0.095522877,-0.37248844,-0.026681787,-0.154793538,-0.058054984,0.00113297,-0.140995177
Lorius_garrulus,-0.509622606,-0.107030571,0.352050196,0.044976802,0.335460658,0.003164803,0.132051405,-0.201890738,0.068996998,0.112505109,0.252401309,0.060374369,-0.308297405,0.108734886,0.045011223,0.18261098,0.20080671,0.118639015,-0.37560688,-0.029639452,-0.178639328,-0.113344077,-0.01461228,-0.179101124
Loxioides_bailleui,-0.441022906,-0.061674847,0.456663393,0.064932613,0.381739767,-0.009816599,0.103607489,-0.2164137,-0.049574337,0.038899714,0.28039586,0.028580741,-0.292700175,0.074219056,-0.078065268,0.160317913,0.176717492,0.157608994,-0.323781597,-0.044532508,-0.181078843,-0.061700038,-0.032900874,-0.130421338
Loxops_coccineus,-0.505752848,-0.048109232,0.432440167,0.067982354,0.315215904,-0.033116976,0.124169846,-0.194717544,0.013620985,0.03592834,0.244133648,0.03121671,-0.317864718,0.072166264,-0.028609222,0.15496226,0.190946658,0.156216515,-0.3489618,-0.054221917,-0.140509136,-0.068618683,0.021170516,-0.119688091
Lybius_bidentatus,-0.520531239,-0.023952783,0.354841553,0.095844862,0.280389771,-0.016405195,0.143755774,-0.205816962,0.042511417,-0.002946199,0.26568486,0.024548348,-0.347565156,0.0938151,-0.032666789,0.171069793,0.21909054,0.150444882,-0.359421135,-0.042949305,-0.116300501,-0.086555905,0.070210905,-0.157096636
Machaerirhynchus_nigripectus,-0.455897785,0.01229836,0.384135744,0.025952621,0.384690523,-0.004574786,0.275909326,-0.106114765,-0.068808399,0.013493409,0.309788332,-0.016683173,-0.376566364,0.036395739,-0.170799771,0.050702806,0.147675009,0.041067418,-0.346644545,0.006974336,-0.164773336,-0.006875711,0.081291264,-0.052636255
Macheiramphus_alcinus,-0.398180846,-0.088019891,0.514764683,0.072616711,0.359472397,-0.048466238,0.104801798,-0.199683101,-0.075269886,0.040876945,0.293153853,0.06617867,-0.300676546,0.084322032,-0.10527113,0.151895492,0.179242067,0.129344986,-0.31768755,-0.031858767,-0.200898764,-0.047119511,-0.053450076,-0.130087328
